Interview_ID,Candidate_ID,Requisition_ID,Stage_Name,Interviewer_ID,Interviewer_Role,Scheduled_Date,Feedback_Submitted_Date,Turnaround_Hours,SLA_Met,BARS_Score_1,BARS_Score_2,BARS_Score_3,BARS_Score_4,Mean_BARS_Score,Notes_Summary
INT-2026-1127,CAND-2026-0982,REQ-2026-ENG-G1,Structured Interview B,APD-INT-047,Cross-functional Panelist,2026-02-01,2026-02-02,14.0,Yes,3.8,3.5,3.6,3.7,3.65,Independent follow-up evidence locked before panel release
INT-2026-1128,CAND-2026-0982,REQ-2026-ENG-G1,Calibration Review,APD-INT-048,Talent Acquisition Partner,2026-02-03,2026-02-05,25.0,Yes,3.8,3.5,3.6,3.7,3.65,Composite and decision evidence reviewed in calibration
INT-2026-1129,CAND-2026-0983,REQ-2026-ENG-G1,Work Sample Review,APD-INT-049,Technical Assessor,2026-02-04,2026-02-06,36.0,Yes,4.1,4.0,3.3,3.9,3.83,Work sample evidence recorded against the controlled scoring key
INT-2026-1130,CAND-2026-0983,REQ-2026-ENG-G1,Structured Interview A,APD-INT-050,Hiring Manager,2026-02-06,2026-02-08,47.0,Yes,4.1,4.0,3.3,3.9,3.83,Behavioral evidence mapped to published BARS anchors
INT-2026-1131,CAND-2026-0983,REQ-2026-ENG-G1,Structured Interview B,APD-INT-051,Cross-functional Panelist,2026-02-08,2026-02-09,21.0,Yes,4.1,4.0,3.3,3.9,3.83,Independent follow-up evidence locked before panel release
INT-2026-1132,CAND-2026-0983,REQ-2026-ENG-G1,Calibration Review,APD-INT-052,Talent Acquisition Partner,2026-02-10,2026-02-12,32.0,Yes,4.1,4.0,3.3,3.9,3.83,Composite and decision evidence reviewed in calibration
INT-2026-1133,CAND-2026-0984,REQ-2026-ENG-G1,Work Sample Review,APD-INT-053,Technical Assessor,2026-01-29,2026-01-31,43.0,Yes,3.4,3.4,4.0,4.1,3.73,Work sample evidence recorded against the controlled scoring key
INT-2026-1134,CAND-2026-0984,REQ-2026-ENG-G1,Structured Interview A,APD-INT-054,Hiring Manager,2026-01-31,2026-02-01,17.0,Yes,3.4,3.4,4.0,4.1,3.73,Behavioral evidence mapped to published BARS anchors
INT-2026-1135,CAND-2026-0984,REQ-2026-ENG-G1,Structured Interview B,APD-INT-055,Cross-functional Panelist,2026-02-02,2026-02-04,28.0,Yes,3.4,3.4,4.0,4.1,3.73,Independent follow-up evidence locked before panel release
INT-2026-1136,CAND-2026-0984,REQ-2026-ENG-G1,Calibration Review,APD-INT-056,Talent Acquisition Partner,2026-02-04,2026-02-07,57.0,No,3.4,3.4,4.0,4.1,3.73,Composite and decision evidence reviewed in calibration
INT-2026-1137,CAND-2026-0985,REQ-2026-ENG-G1,Work Sample Review,APD-INT-057,Technical Assessor,2026-02-05,2026-02-08,64.0,No,3.7,3.9,3.7,3.2,3.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1138,CAND-2026-0985,REQ-2026-ENG-G1,Structured Interview A,APD-INT-058,Hiring Manager,2026-02-07,2026-02-10,71.0,No,3.7,3.9,3.7,3.2,3.63,Behavioral evidence mapped to published BARS anchors
INT-2026-1139,CAND-2026-0985,REQ-2026-ENG-G1,Structured Interview B,APD-INT-059,Cross-functional Panelist,2026-02-09,2026-02-12,54.0,No,3.7,3.9,3.7,3.2,3.63,Independent follow-up evidence locked before panel release
INT-2026-1140,CAND-2026-0985,REQ-2026-ENG-G1,Calibration Review,APD-INT-060,Talent Acquisition Partner,2026-02-11,2026-02-13,46.0,Yes,3.7,3.9,3.7,3.2,3.63,Composite and decision evidence reviewed in calibration
INT-2026-1141,CAND-2026-0986,REQ-2026-ENG-G1,Work Sample Review,APD-INT-001,Technical Assessor,2026-01-30,2026-01-31,20.0,Yes,4.0,3.3,3.4,3.4,3.53,Work sample evidence recorded against the controlled scoring key
INT-2026-1142,CAND-2026-0986,REQ-2026-ENG-G1,Structured Interview A,APD-INT-002,Hiring Manager,2026-02-01,2026-02-03,31.0,Yes,4.0,3.3,3.4,3.4,3.53,Behavioral evidence mapped to published BARS anchors
INT-2026-1143,CAND-2026-0986,REQ-2026-ENG-G1,Structured Interview B,APD-INT-003,Cross-functional Panelist,2026-02-03,2026-02-05,42.0,Yes,4.0,3.3,3.4,3.4,3.53,Independent follow-up evidence locked before panel release
INT-2026-1144,CAND-2026-0986,REQ-2026-ENG-G1,Calibration Review,APD-INT-004,Talent Acquisition Partner,2026-02-05,2026-02-06,16.0,Yes,4.0,3.3,3.4,3.4,3.53,Composite and decision evidence reviewed in calibration
INT-2026-1145,CAND-2026-0987,REQ-2026-ENG-G1,Work Sample Review,APD-INT-005,Technical Assessor,2026-02-06,2026-02-08,27.0,Yes,3.3,3.8,4.1,3.6,3.70,Work sample evidence recorded against the controlled scoring key
INT-2026-1146,CAND-2026-0987,REQ-2026-ENG-G1,Structured Interview A,APD-INT-006,Hiring Manager,2026-02-08,2026-02-10,38.0,Yes,3.3,3.8,4.1,3.6,3.70,Behavioral evidence mapped to published BARS anchors
INT-2026-1147,CAND-2026-0987,REQ-2026-ENG-G1,Structured Interview B,APD-INT-007,Cross-functional Panelist,2026-02-10,2026-02-11,12.0,Yes,3.3,3.8,4.1,3.6,3.70,Independent follow-up evidence locked before panel release
INT-2026-1148,CAND-2026-0987,REQ-2026-ENG-G1,Calibration Review,APD-INT-008,Talent Acquisition Partner,2026-02-12,2026-02-13,23.0,Yes,3.3,3.8,4.1,3.6,3.70,Composite and decision evidence reviewed in calibration
INT-2026-1149,CAND-2026-0988,REQ-2026-ENG-G1,Work Sample Review,APD-INT-009,Technical Assessor,2026-01-31,2026-02-02,34.0,Yes,3.6,3.2,3.8,3.8,3.60,Work sample evidence recorded against the controlled scoring key
INT-2026-1150,CAND-2026-0988,REQ-2026-ENG-G1,Structured Interview A,APD-INT-010,Hiring Manager,2026-02-02,2026-02-04,45.0,Yes,3.6,3.2,3.8,3.8,3.60,Behavioral evidence mapped to published BARS anchors
INT-2026-1151,CAND-2026-0988,REQ-2026-ENG-G1,Structured Interview B,APD-INT-011,Cross-functional Panelist,2026-02-04,2026-02-05,19.0,Yes,3.6,3.2,3.8,3.8,3.60,Independent follow-up evidence locked before panel release
INT-2026-1152,CAND-2026-0988,REQ-2026-ENG-G1,Calibration Review,APD-INT-012,Talent Acquisition Partner,2026-02-06,2026-02-08,30.0,Yes,3.6,3.2,3.8,3.8,3.60,Composite and decision evidence reviewed in calibration
INT-2026-1153,CAND-2026-0989,REQ-2026-ENG-G1,Work Sample Review,APD-INT-013,Technical Assessor,2026-02-07,2026-02-09,41.0,Yes,3.9,3.7,3.5,4.0,3.78,Work sample evidence recorded against the controlled scoring key
INT-2026-1154,CAND-2026-0989,REQ-2026-ENG-G1,Structured Interview A,APD-INT-014,Hiring Manager,2026-02-09,2026-02-10,15.0,Yes,3.9,3.7,3.5,4.0,3.78,Behavioral evidence mapped to published BARS anchors
INT-2026-1155,CAND-2026-0989,REQ-2026-ENG-G1,Structured Interview B,APD-INT-015,Cross-functional Panelist,2026-02-11,2026-02-13,26.0,Yes,3.9,3.7,3.5,4.0,3.78,Independent follow-up evidence locked before panel release
INT-2026-1156,CAND-2026-0989,REQ-2026-ENG-G1,Calibration Review,APD-INT-016,Talent Acquisition Partner,2026-02-13,2026-02-15,37.0,Yes,3.9,3.7,3.5,4.0,3.78,Composite and decision evidence reviewed in calibration
INT-2026-1157,CAND-2026-0990,REQ-2026-ENG-G1,Work Sample Review,APD-INT-017,Technical Assessor,2026-02-01,2026-02-03,48.0,Yes,3.2,3.1,3.2,3.1,3.15,Work sample evidence recorded against the controlled scoring key
INT-2026-1158,CAND-2026-0990,REQ-2026-ENG-G1,Structured Interview A,APD-INT-018,Hiring Manager,2026-02-03,2026-02-04,22.0,Yes,3.2,3.1,3.2,3.1,3.15,Behavioral evidence mapped to published BARS anchors
INT-2026-1159,CAND-2026-0990,REQ-2026-ENG-G1,Structured Interview B,APD-INT-019,Cross-functional Panelist,2026-02-05,2026-02-07,33.0,Yes,3.2,3.1,3.2,3.1,3.15,Independent follow-up evidence locked before panel release
INT-2026-1160,CAND-2026-0990,REQ-2026-ENG-G1,Calibration Review,APD-INT-020,Talent Acquisition Partner,2026-02-07,2026-02-09,44.0,Yes,3.2,3.1,3.2,3.1,3.15,Composite and decision evidence reviewed in calibration
INT-2026-1161,CAND-2026-0991,REQ-2026-ENG-G1,Work Sample Review,APD-INT-021,Technical Assessor,2026-02-08,2026-02-09,18.0,Yes,3.5,3.6,3.9,3.3,3.58,Work sample evidence recorded against the controlled scoring key
INT-2026-1162,CAND-2026-0991,REQ-2026-ENG-G1,Structured Interview A,APD-INT-022,Hiring Manager,2026-02-10,2026-02-12,29.0,Yes,3.5,3.6,3.9,3.3,3.58,Behavioral evidence mapped to published BARS anchors
INT-2026-1163,CAND-2026-0991,REQ-2026-ENG-G1,Structured Interview B,APD-INT-023,Cross-functional Panelist,2026-02-12,2026-02-14,40.0,Yes,3.5,3.6,3.9,3.3,3.58,Independent follow-up evidence locked before panel release
INT-2026-1164,CAND-2026-0991,REQ-2026-ENG-G1,Calibration Review,APD-INT-024,Talent Acquisition Partner,2026-02-14,2026-02-15,14.0,Yes,3.5,3.6,3.9,3.3,3.58,Composite and decision evidence reviewed in calibration
INT-2026-1165,CAND-2026-0992,REQ-2026-ENG-G1,Work Sample Review,APD-INT-025,Technical Assessor,2026-02-02,2026-02-04,25.0,Yes,3.8,4.1,3.6,3.5,3.75,Work sample evidence recorded against the controlled scoring key
INT-2026-1166,CAND-2026-0992,REQ-2026-ENG-G1,Structured Interview A,APD-INT-026,Hiring Manager,2026-02-04,2026-02-06,36.0,Yes,3.8,4.1,3.6,3.5,3.75,Behavioral evidence mapped to published BARS anchors
INT-2026-1167,CAND-2026-0992,REQ-2026-ENG-G1,Structured Interview B,APD-INT-027,Cross-functional Panelist,2026-02-06,2026-02-08,47.0,Yes,3.8,4.1,3.6,3.5,3.75,Independent follow-up evidence locked before panel release
INT-2026-1168,CAND-2026-0992,REQ-2026-ENG-G1,Calibration Review,APD-INT-028,Talent Acquisition Partner,2026-02-08,2026-02-09,21.0,Yes,3.8,4.1,3.6,3.5,3.75,Composite and decision evidence reviewed in calibration
INT-2026-1169,CAND-2026-0993,REQ-2026-ENG-G1,Work Sample Review,APD-INT-029,Technical Assessor,2026-02-09,2026-02-11,32.0,Yes,4.1,3.5,3.3,3.7,3.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1170,CAND-2026-0993,REQ-2026-ENG-G1,Structured Interview A,APD-INT-030,Hiring Manager,2026-02-11,2026-02-13,43.0,Yes,4.1,3.5,3.3,3.7,3.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1171,CAND-2026-0993,REQ-2026-ENG-G1,Structured Interview B,APD-INT-031,Cross-functional Panelist,2026-02-13,2026-02-14,17.0,Yes,4.1,3.5,3.3,3.7,3.65,Independent follow-up evidence locked before panel release
INT-2026-1172,CAND-2026-0993,REQ-2026-ENG-G1,Calibration Review,APD-INT-032,Talent Acquisition Partner,2026-02-15,2026-02-17,28.0,Yes,4.1,3.5,3.3,3.7,3.65,Composite and decision evidence reviewed in calibration
INT-2026-1173,CAND-2026-0994,REQ-2026-ENG-G1,Work Sample Review,APD-INT-033,Technical Assessor,2026-02-03,2026-02-05,39.0,Yes,3.4,4.0,4.0,3.9,3.83,Work sample evidence recorded against the controlled scoring key
INT-2026-1174,CAND-2026-0994,REQ-2026-ENG-G1,Structured Interview A,APD-INT-034,Hiring Manager,2026-02-05,2026-02-06,13.0,Yes,3.4,4.0,4.0,3.9,3.83,Behavioral evidence mapped to published BARS anchors
INT-2026-1175,CAND-2026-0994,REQ-2026-ENG-G1,Structured Interview B,APD-INT-035,Cross-functional Panelist,2026-02-07,2026-02-08,24.0,Yes,3.4,4.0,4.0,3.9,3.83,Independent follow-up evidence locked before panel release
INT-2026-1176,CAND-2026-0994,REQ-2026-ENG-G1,Calibration Review,APD-INT-036,Talent Acquisition Partner,2026-02-09,2026-02-11,35.0,Yes,3.4,4.0,4.0,3.9,3.83,Composite and decision evidence reviewed in calibration
INT-2026-1177,CAND-2026-0995,REQ-2026-ENG-G1,Work Sample Review,APD-INT-037,Technical Assessor,2026-01-28,2026-01-30,46.0,Yes,3.7,3.4,3.7,4.1,3.73,Work sample evidence recorded against the controlled scoring key
INT-2026-1178,CAND-2026-0995,REQ-2026-ENG-G1,Structured Interview A,APD-INT-038,Hiring Manager,2026-01-30,2026-01-31,20.0,Yes,3.7,3.4,3.7,4.1,3.73,Behavioral evidence mapped to published BARS anchors
INT-2026-1179,CAND-2026-0995,REQ-2026-ENG-G1,Structured Interview B,APD-INT-039,Cross-functional Panelist,2026-02-01,2026-02-03,31.0,Yes,3.7,3.4,3.7,4.1,3.73,Independent follow-up evidence locked before panel release
INT-2026-1180,CAND-2026-0995,REQ-2026-ENG-G1,Calibration Review,APD-INT-040,Talent Acquisition Partner,2026-02-03,2026-02-05,42.0,Yes,3.7,3.4,3.7,4.1,3.73,Composite and decision evidence reviewed in calibration
INT-2026-1181,CAND-2026-0996,REQ-2026-ENG-G1,Work Sample Review,APD-INT-041,Technical Assessor,2026-02-04,2026-02-05,16.0,Yes,4.0,3.9,3.4,3.2,3.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1182,CAND-2026-0996,REQ-2026-ENG-G1,Structured Interview A,APD-INT-042,Hiring Manager,2026-02-06,2026-02-08,27.0,Yes,4.0,3.9,3.4,3.2,3.63,Behavioral evidence mapped to published BARS anchors
INT-2026-1183,CAND-2026-0996,REQ-2026-ENG-G1,Structured Interview B,APD-INT-043,Cross-functional Panelist,2026-02-08,2026-02-10,38.0,Yes,4.0,3.9,3.4,3.2,3.63,Independent follow-up evidence locked before panel release
INT-2026-1184,CAND-2026-0996,REQ-2026-ENG-G1,Calibration Review,APD-INT-044,Talent Acquisition Partner,2026-02-10,2026-02-11,12.0,Yes,4.0,3.9,3.4,3.2,3.63,Composite and decision evidence reviewed in calibration
INT-2026-1185,CAND-2026-0997,REQ-2026-ENG-G1,Work Sample Review,APD-INT-045,Technical Assessor,2026-01-29,2026-01-30,23.0,Yes,3.3,3.3,4.1,3.4,3.53,Work sample evidence recorded against the controlled scoring key
INT-2026-1186,CAND-2026-0997,REQ-2026-ENG-G1,Structured Interview A,APD-INT-046,Hiring Manager,2026-01-31,2026-02-02,34.0,Yes,3.3,3.3,4.1,3.4,3.53,Behavioral evidence mapped to published BARS anchors
INT-2026-1187,CAND-2026-0997,REQ-2026-ENG-G1,Structured Interview B,APD-INT-047,Cross-functional Panelist,2026-02-02,2026-02-04,45.0,Yes,3.3,3.3,4.1,3.4,3.53,Independent follow-up evidence locked before panel release
INT-2026-1188,CAND-2026-0997,REQ-2026-ENG-G1,Calibration Review,APD-INT-048,Talent Acquisition Partner,2026-02-04,2026-02-05,19.0,Yes,3.3,3.3,4.1,3.4,3.53,Composite and decision evidence reviewed in calibration
INT-2026-1189,CAND-2026-0998,REQ-2026-ENG-G1,Work Sample Review,APD-INT-049,Technical Assessor,2026-02-05,2026-02-07,30.0,Yes,3.6,3.8,3.8,3.6,3.70,Work sample evidence recorded against the controlled scoring key
INT-2026-1190,CAND-2026-0998,REQ-2026-ENG-G1,Structured Interview A,APD-INT-050,Hiring Manager,2026-02-07,2026-02-10,51.0,No,3.6,3.8,3.8,3.6,3.70,Behavioral evidence mapped to published BARS anchors
INT-2026-1191,CAND-2026-0998,REQ-2026-ENG-G1,Structured Interview B,APD-INT-051,Cross-functional Panelist,2026-02-09,2026-02-12,58.0,No,3.6,3.8,3.8,3.6,3.70,Independent follow-up evidence locked before panel release
INT-2026-1192,CAND-2026-0998,REQ-2026-ENG-G1,Calibration Review,APD-INT-052,Talent Acquisition Partner,2026-02-11,2026-02-14,65.0,No,3.6,3.8,3.8,3.6,3.70,Composite and decision evidence reviewed in calibration
INT-2026-1193,CAND-2026-0999,REQ-2026-ENG-G1,Work Sample Review,APD-INT-053,Technical Assessor,2026-01-30,2026-02-02,72.0,No,3.9,3.2,3.5,3.8,3.60,Work sample evidence recorded against the controlled scoring key
INT-2026-1194,CAND-2026-0999,REQ-2026-ENG-G1,Structured Interview A,APD-INT-054,Hiring Manager,2026-02-01,2026-02-03,48.0,Yes,3.9,3.2,3.5,3.8,3.60,Behavioral evidence mapped to published BARS anchors
INT-2026-1195,CAND-2026-0999,REQ-2026-ENG-G1,Structured Interview B,APD-INT-055,Cross-functional Panelist,2026-02-03,2026-02-04,22.0,Yes,3.9,3.2,3.5,3.8,3.60,Independent follow-up evidence locked before panel release
INT-2026-1196,CAND-2026-0999,REQ-2026-ENG-G1,Calibration Review,APD-INT-056,Talent Acquisition Partner,2026-02-05,2026-02-07,33.0,Yes,3.9,3.2,3.5,3.8,3.60,Composite and decision evidence reviewed in calibration
INT-2026-1197,CAND-2026-1000,REQ-2026-ENG-G1,Work Sample Review,APD-INT-057,Technical Assessor,2026-02-06,2026-02-08,44.0,Yes,3.2,3.7,3.2,4.0,3.53,Work sample evidence recorded against the controlled scoring key
INT-2026-1198,CAND-2026-1000,REQ-2026-ENG-G1,Structured Interview A,APD-INT-058,Hiring Manager,2026-02-08,2026-02-09,18.0,Yes,3.2,3.7,3.2,4.0,3.53,Behavioral evidence mapped to published BARS anchors
INT-2026-1199,CAND-2026-1000,REQ-2026-ENG-G1,Structured Interview B,APD-INT-059,Cross-functional Panelist,2026-02-10,2026-02-12,29.0,Yes,3.2,3.7,3.2,4.0,3.53,Independent follow-up evidence locked before panel release
INT-2026-1200,CAND-2026-1000,REQ-2026-ENG-G1,Calibration Review,APD-INT-060,Talent Acquisition Partner,2026-02-12,2026-02-14,40.0,Yes,3.2,3.7,3.2,4.0,3.53,Composite and decision evidence reviewed in calibration
INT-2026-1201,CAND-2026-2401,REQ-2026-QUA-G3,Work Sample Review,APD-INT-001,Technical Assessor,2026-02-26,2026-02-27,14.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1202,CAND-2026-2401,REQ-2026-QUA-G3,Structured Interview A,APD-INT-002,Hiring Manager,2026-02-28,2026-03-02,25.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1203,CAND-2026-2401,REQ-2026-QUA-G3,Structured Interview B,APD-INT-003,Cross-functional Panelist,2026-03-02,2026-03-04,36.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-1204,CAND-2026-2401,REQ-2026-QUA-G3,Calibration Review,APD-INT-004,Talent Acquisition Partner,2026-03-04,2026-03-06,47.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-1205,CAND-2026-2402,REQ-2026-QUA-G3,Work Sample Review,APD-INT-005,Technical Assessor,2026-02-20,2026-02-21,21.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1206,CAND-2026-2402,REQ-2026-QUA-G3,Structured Interview A,APD-INT-006,Hiring Manager,2026-02-22,2026-02-24,32.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-1207,CAND-2026-2402,REQ-2026-QUA-G3,Structured Interview B,APD-INT-007,Cross-functional Panelist,2026-02-24,2026-02-26,43.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-1208,CAND-2026-2402,REQ-2026-QUA-G3,Calibration Review,APD-INT-008,Talent Acquisition Partner,2026-02-26,2026-02-27,17.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-1209,CAND-2026-2403,REQ-2026-QUA-G3,Work Sample Review,APD-INT-009,Technical Assessor,2026-02-27,2026-03-01,28.0,Yes,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-1210,CAND-2026-2403,REQ-2026-QUA-G3,Structured Interview A,APD-INT-010,Hiring Manager,2026-03-01,2026-03-03,39.0,Yes,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-1211,CAND-2026-2403,REQ-2026-QUA-G3,Structured Interview B,APD-INT-011,Cross-functional Panelist,2026-03-03,2026-03-04,13.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-1212,CAND-2026-2403,REQ-2026-QUA-G3,Calibration Review,APD-INT-012,Talent Acquisition Partner,2026-03-05,2026-03-06,24.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-1213,CAND-2026-2404,REQ-2026-QUA-G3,Work Sample Review,APD-INT-013,Technical Assessor,2026-02-21,2026-02-23,35.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1214,CAND-2026-2404,REQ-2026-QUA-G3,Structured Interview A,APD-INT-014,Hiring Manager,2026-02-23,2026-02-25,46.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1215,CAND-2026-2404,REQ-2026-QUA-G3,Structured Interview B,APD-INT-015,Cross-functional Panelist,2026-02-25,2026-02-26,20.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-1216,CAND-2026-2404,REQ-2026-QUA-G3,Calibration Review,APD-INT-016,Talent Acquisition Partner,2026-02-27,2026-03-01,31.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-1217,CAND-2026-2405,REQ-2026-QUA-G3,Work Sample Review,APD-INT-017,Technical Assessor,2026-02-28,2026-03-02,42.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1218,CAND-2026-2405,REQ-2026-QUA-G3,Structured Interview A,APD-INT-018,Hiring Manager,2026-03-02,2026-03-03,16.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-1219,CAND-2026-2405,REQ-2026-QUA-G3,Structured Interview B,APD-INT-019,Cross-functional Panelist,2026-03-04,2026-03-06,27.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-1220,CAND-2026-2405,REQ-2026-QUA-G3,Calibration Review,APD-INT-020,Talent Acquisition Partner,2026-03-06,2026-03-08,38.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-1221,CAND-2026-2406,REQ-2026-QUA-G3,Work Sample Review,APD-INT-021,Technical Assessor,2026-02-22,2026-02-23,12.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-1222,CAND-2026-2406,REQ-2026-QUA-G3,Structured Interview A,APD-INT-022,Hiring Manager,2026-02-24,2026-02-25,23.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-1223,CAND-2026-2406,REQ-2026-QUA-G3,Structured Interview B,APD-INT-023,Cross-functional Panelist,2026-02-26,2026-02-28,34.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-1224,CAND-2026-2406,REQ-2026-QUA-G3,Calibration Review,APD-INT-024,Talent Acquisition Partner,2026-02-28,2026-03-02,45.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-1225,CAND-2026-2407,REQ-2026-QUA-G3,Work Sample Review,APD-INT-025,Technical Assessor,2026-03-01,2026-03-02,19.0,Yes,4.4,4.5,4.6,4.7,4.55,Work sample evidence recorded against the controlled scoring key
INT-2026-1226,CAND-2026-2407,REQ-2026-QUA-G3,Structured Interview A,APD-INT-026,Hiring Manager,2026-03-03,2026-03-05,30.0,Yes,4.4,4.5,4.6,4.7,4.55,Behavioral evidence mapped to published BARS anchors
INT-2026-1227,CAND-2026-2407,REQ-2026-QUA-G3,Structured Interview B,APD-INT-027,Cross-functional Panelist,2026-03-05,2026-03-07,41.0,Yes,4.4,4.5,4.6,4.7,4.55,Independent follow-up evidence locked before panel release
INT-2026-1228,CAND-2026-2407,REQ-2026-QUA-G3,Calibration Review,APD-INT-028,Talent Acquisition Partner,2026-03-07,2026-03-08,15.0,Yes,4.4,4.5,4.6,4.7,4.55,Composite and decision evidence reviewed in calibration
INT-2026-1229,CAND-2026-2408,REQ-2026-QUA-G3,Work Sample Review,APD-INT-029,Technical Assessor,2026-02-23,2026-02-25,26.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-1230,CAND-2026-2408,REQ-2026-QUA-G3,Structured Interview A,APD-INT-030,Hiring Manager,2026-02-25,2026-02-27,37.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-1231,CAND-2026-2408,REQ-2026-QUA-G3,Structured Interview B,APD-INT-031,Cross-functional Panelist,2026-02-27,2026-03-01,48.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-1232,CAND-2026-2408,REQ-2026-QUA-G3,Calibration Review,APD-INT-032,Talent Acquisition Partner,2026-03-01,2026-03-02,22.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-1233,CAND-2026-2409,REQ-2026-QUA-G3,Work Sample Review,APD-INT-033,Technical Assessor,2026-03-02,2026-03-04,33.0,Yes,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-1234,CAND-2026-2409,REQ-2026-QUA-G3,Structured Interview A,APD-INT-034,Hiring Manager,2026-03-04,2026-03-06,44.0,Yes,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-1235,CAND-2026-2409,REQ-2026-QUA-G3,Structured Interview B,APD-INT-035,Cross-functional Panelist,2026-03-06,2026-03-07,18.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-1236,CAND-2026-2409,REQ-2026-QUA-G3,Calibration Review,APD-INT-036,Talent Acquisition Partner,2026-03-08,2026-03-10,29.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-1237,CAND-2026-2410,REQ-2026-QUA-G3,Work Sample Review,APD-INT-037,Technical Assessor,2026-02-24,2026-02-26,40.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-1238,CAND-2026-2410,REQ-2026-QUA-G3,Structured Interview A,APD-INT-038,Hiring Manager,2026-02-26,2026-02-27,14.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-1239,CAND-2026-2410,REQ-2026-QUA-G3,Structured Interview B,APD-INT-039,Cross-functional Panelist,2026-02-28,2026-03-02,25.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-1240,CAND-2026-2410,REQ-2026-QUA-G3,Calibration Review,APD-INT-040,Talent Acquisition Partner,2026-03-02,2026-03-04,36.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-1241,CAND-2026-2411,REQ-2026-QUA-G3,Work Sample Review,APD-INT-041,Technical Assessor,2026-03-03,2026-03-05,47.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-1242,CAND-2026-2411,REQ-2026-QUA-G3,Structured Interview A,APD-INT-042,Hiring Manager,2026-03-05,2026-03-06,21.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
